type,hash_test_creation,test_file,hash_test_impl,impl_file
same,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform3DTest.java,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform3D.java
same,77a2792463b091a37eea3859032793648a9b525d,Line3DTest.java,77a2792463b091a37eea3859032793648a9b525d,Line3D.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree3DTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree3D.java
same,77a2792463b091a37eea3859032793648a9b525d,Segment3DTest.java,77a2792463b091a37eea3859032793648a9b525d,Segment3D.java
same,77a2792463b091a37eea3859032793648a9b525d,SubLine3DTest.java,77a2792463b091a37eea3859032793648a9b525d,SubLine3D.java
after,77a2792463b091a37eea3859032793648a9b525d,SubPlaneTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,SubPlane.java
same,77a2792463b091a37eea3859032793648a9b525d,AbstractSegmentConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,AbstractSegmentConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexAreaTest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexArea.java
same,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform2DTest.java,77a2792463b091a37eea3859032793648a9b525d,FunctionTransform2D.java
same,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleSegmentConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleSegmentConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,PolylineTest.java,77a2792463b091a37eea3859032793648a9b525d,Polyline.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2DTest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2D.java
same,77a2792463b091a37eea3859032793648a9b525d,AngularIntervalTest.java,77a2792463b091a37eea3859032793648a9b525d,AngularInterval.java
same,77a2792463b091a37eea3859032793648a9b525d,CutAngleTest.java,77a2792463b091a37eea3859032793648a9b525d,CutAngle.java
same,77a2792463b091a37eea3859032793648a9b525d,Point1STest.java,77a2792463b091a37eea3859032793648a9b525d,Point1S.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1STest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree1S.java
same,77a2792463b091a37eea3859032793648a9b525d,Transform1STest.java,77a2792463b091a37eea3859032793648a9b525d,Transform1S.java
same,77a2792463b091a37eea3859032793648a9b525d,ConvexArea2STest.java,77a2792463b091a37eea3859032793648a9b525d,ConvexArea2S.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatArcPathTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatArcPath.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatArcTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatArc.java
same,77a2792463b091a37eea3859032793648a9b525d,GreatCircleTest.java,77a2792463b091a37eea3859032793648a9b525d,GreatCircle.java
same,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleGreatArcConnectorTest.java,77a2792463b091a37eea3859032793648a9b525d,InteriorAngleGreatArcConnector.java
same,77a2792463b091a37eea3859032793648a9b525d,Point2STest.java,77a2792463b091a37eea3859032793648a9b525d,Point2S.java
same,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2STest.java,77a2792463b091a37eea3859032793648a9b525d,RegionBSPTree2S.java
same,77a2792463b091a37eea3859032793648a9b525d,SubGreatCircleTest.java,77a2792463b091a37eea3859032793648a9b525d,SubGreatCircle.java
same,77a2792463b091a37eea3859032793648a9b525d,Transform2STest.java,77a2792463b091a37eea3859032793648a9b525d,Transform2S.java
after,fd09ed0eb7f3dd61fc5377d455707c2ecc8108d5,GeometryInternalErrorTest.java,fc1af80256cb7b1f562aab0841267565695215fd,GeometryInternalError.java
same,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries3DTest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries3D.java
same,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries2DTest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,Boundaries2D.java
same,6c10297aa665ab0342ec4ffaa6f013d394c69f05,BoundarySourceLinecastWrapper3DTest.java,6c10297aa665ab0342ec4ffaa6f013d394c69f05,BoundarySourceLinecastWrapper3D.java
same,6c10297aa665ab0342ec4ffaa6f013d394c69f05,LinecastPoint3DTest.java,6c10297aa665ab0342ec4ffaa6f013d394c69f05,LinecastPoint3D.java
same,6c10297aa665ab0342ec4ffaa6f013d394c69f05,BoundarySourceLinecastWrapper2DTest.java,6c10297aa665ab0342ec4ffaa6f013d394c69f05,BoundarySourceLinecastWrapper2D.java
same,6c10297aa665ab0342ec4ffaa6f013d394c69f05,LinecastPoint2DTest.java,6c10297aa665ab0342ec4ffaa6f013d394c69f05,LinecastPoint2D.java
after,04545980fc69c696d85efaab186a9a4313d74687,BoundarySource3DTest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,BoundarySource3D.java
same,04545980fc69c696d85efaab186a9a4313d74687,ParallelepipedTest.java,04545980fc69c696d85efaab186a9a4313d74687,Parallelepiped.java
after,04545980fc69c696d85efaab186a9a4313d74687,BoundarySource2DTest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,BoundarySource2D.java
same,04545980fc69c696d85efaab186a9a4313d74687,ParallelogramTest.java,04545980fc69c696d85efaab186a9a4313d74687,Parallelogram.java
same,e9b37d1d71bf646a6c5efcb150bdacdb964b5be0,FacetTest.java,e9b37d1d71bf646a6c5efcb150bdacdb964b5be0,Facet.java
same,85d8278a1622b409c8afa8567f0c6c59f1f6da4a,BoundarySourceLinecaster3DTest.java,85d8278a1622b409c8afa8567f0c6c59f1f6da4a,BoundarySourceLinecaster3D.java
same,85d8278a1622b409c8afa8567f0c6c59f1f6da4a,BoundarySourceLinecaster2DTest.java,85d8278a1622b409c8afa8567f0c6c59f1f6da4a,BoundarySourceLinecaster2D.java
after,7f7b195938ed670abe036a2873393f20390b07d7,ConvexHull2DTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,ConvexHull2D.java
after,34ce0ca0c23b3dba590448d88cea6daf03796ce8,EnclosingBallTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,EnclosingBall.java
after,3276f24ade965941557676b2205c961e683dcea2,BoundarySource2STest.java,d65ea8f1c63921933f3c1c79bb0a6b221b088966,BoundarySource2S.java
same,0e3c4a95e0e3b7473070f5299113d84e3990cb7d,Rotation2DTest.java,0e3c4a95e0e3b7473070f5299113d84e3990cb7d,Rotation2D.java
same,f67a62727a927c39da20bc3ba9a224d93e0ddc16,SphereTest.java,f67a62727a927c39da20bc3ba9a224d93e0ddc16,Sphere.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,RegionEmbeddingTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,RegionEmbedding.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,SizedTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,Sized.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,AbstractRegionEmbeddingHyperplaneSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,AbstractRegionEmbeddingHyperplaneSubset.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreePlaneSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreePlaneSubset.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,PlaneConvexSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,PlaneConvexSubset.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreeLineSubset3DTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreeLineSubset3D.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineConvexSubset3DTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineConvexSubset3D.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,Ray3DTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,Ray3D.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,ReverseRay3DTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,ReverseRay3D.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreeLineSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,EmbeddedTreeLineSubset.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineConvexSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineConvexSubset.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,RayTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,Ray.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,ReverseRayTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,ReverseRay.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,AbstractLinePathConnectorTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,AbstractLinePathConnector.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,InteriorAngleLinePathConnectorTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,InteriorAngleLinePathConnector.java
same,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LinePathTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LinePath.java
after,7ccde75624c83b9d0e41e7a2c81ef0d96639dcae,PlaneSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,PlaneSubset.java
after,7ccde75624c83b9d0e41e7a2c81ef0d96639dcae,LineSpanningSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineSpanningSubset.java
after,7ccde75624c83b9d0e41e7a2c81ef0d96639dcae,LineSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,LineSubset.java
after,7ccde75624c83b9d0e41e7a2c81ef0d96639dcae,GreatCircleSubsetTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,GreatCircleSubset.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,HyperplaneSubsetsTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,HyperplaneSubsets.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,AbstractPlaneSubsetTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,AbstractPlaneSubset.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,BoundarySourceBoundsBuilder3DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,BoundarySourceBoundsBuilder3D.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,Bounds3DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,Bounds3D.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,EmbeddedAreaPlaneConvexSubsetTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,EmbeddedAreaPlaneConvexSubset.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,EmbeddingPlaneTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,EmbeddingPlane.java
after,ed41804dc3f8273e483ddfabd331732e1ae2c550,PlanesTest.java,eee258978cae8fe4987c2155ddfbd08c73d3c9db,Planes.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,SimpleTriangle3DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,SimpleTriangle3D.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,VertexListConvexPolygon3DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,VertexListConvexPolygon3D.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,BoundarySourceBoundsBuilder2DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,BoundarySourceBoundsBuilder2D.java
same,ed41804dc3f8273e483ddfabd331732e1ae2c550,Bounds2DTest.java,ed41804dc3f8273e483ddfabd331732e1ae2c550,Bounds2D.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,AbstractPartitionedRegionBuilderTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,AbstractPartitionedRegionBuilder.java
after,2f77c164d5c5a15d8590443279baeccccbe9d917,TestOBJWriter.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,OBJWriter.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,SimpleTriangleMeshTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,SimpleTriangleMesh.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,DefaultModelIOHandlerRegistryTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,DefaultModelIOHandlerRegistry.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,ModelIOHandlerRegistryTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,ModelIOHandlerRegistry.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,ModelIOTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,ModelIO.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,OBJModelIOHandlerTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,OBJModelIOHandler.java
same,2f77c164d5c5a15d8590443279baeccccbe9d917,OBJReaderTest.java,2f77c164d5c5a15d8590443279baeccccbe9d917,OBJReader.java
after,2f77c164d5c5a15d8590443279baeccccbe9d917,OBJWriterTest.java,fdbc5cd789284dd41e4f2d7efdaaecfec70f814e,OBJWriter.java
same,3c25e07d19e0d7c36073713c6a60d15adf4a5ecf,GeometryInternalExceptionTest.java,3c25e07d19e0d7c36073713c6a60d15adf4a5ecf,GeometryInternalException.java
same,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryListTest.java,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList.java
same,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList3DTest.java,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList3D.java
same,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList2DTest.java,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList2D.java
same,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList2STest.java,29b20e9cb6e0577c2c5754dc7089b1cafe578200,BoundaryList2S.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,BoundaryIOManagerTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,BoundaryIOManager.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,FileGeometryInputTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,FileGeometryInput.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,StreamGeometryInputTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,StreamGeometryInput.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,UrlGeometryInputTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,UrlGeometryInput.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,CharReadBufferTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,CharReadBuffer.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,GeometryIOUtilsTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,GeometryIOUtils.java
same,dcc5d43a33ffddc546088b644162d7f51b548192,SimpleTextParserTest.java,dcc5d43a33ffddc546088b644162d7f51b548192,SimpleTextParser.java
