hash,lines,files,num_test_files,commit_size
b79d6a8a19ab58ffef1d80a4c11853bd7872fc4c,47,1,0,48
7194b3c5bcd22ad9c53d55faf2c74b7f86c439ea,3,2,0,5
c8a0fc54f41a380892d9d7a4f5b4c1b6d927e967,581,1,1,582
a841099fc8417de79f4c1d66b9da34ef321a9f76,342,21,2,363
6f741af88071cf5220f32280cbcccca2a44d6c5b,2,1,0,3
3a6737681c29f795991ae9701dd92d069895dfaf,2,1,0,3
ab97f9a04174382e2f12a5763d6b6dc2faac572a,81,3,1,84
96db21d40fa39047ecf222990f5cfcf7c72de04c,125,3,0,128
795bf86c56bb14236a714353879657d32cbb2c42,2,1,0,3
234ecc641a8a21e8e387cf0e8bebd77325c6516b,4,1,0,5
e98c6825ae22955496ecad40622c6f1e0f4b54e2,28,2,0,30
21e6d1da388df03e2fd00880ebb258c251ddadbf,3840,53,1,3893
874d6fedf1f73ec2e1f0e04d21999bf0311fba53,1081,23,2,1104
80c829f6b96d9db60529f49a6cb873e79b9a1b8a,84,4,1,88
41b4b8bea57dd5dae05f5a6892f19acff8e6d7db,1953,25,0,1978
ee8c726100f958a24a0b86812164e1b69d2b916b,26,1,0,27
7c91f04411adc6046edb8c41c3c1bfe8a60f5d78,6702,95,14,6797
436d656c76d82c1c1145e420c4ce1c4d0a7f36a0,259,15,6,274
b16e33261f0563dbbb880e5ad22107851d593c7a,35,3,0,38
f69420eccf0e80b783bee296591c5ab11a2611a8,18,2,1,20
e764c5e1afb1e77b8190e33a0c577993ecc9fedb,1,1,0,2
0f763c6bb1be3547d4157865df4abb2ae6514318,34,2,0,36
e36fc4a3151d208e4327132f2bffb9e383d2c060,389,5,1,394
5a0fb8c6406a7541c368f53e768032ee98731bf3,73,2,0,75
fdabc69da728cb3960c2e322c9f6b29ea94efd2a,6,2,0,8
1c009cdced80f8fede1bc938518ba5b46af2681d,6,2,0,8
f8c9504f70e683992171602af50e507bbdee91eb,86,3,0,89
cf0bf56745f8ef2dce83f3a029ca6c02efc575c0,8,3,1,11
df2cc164edd409b2aa68ed26092c474558f1d8b8,135,19,3,154
dfba637bcd0f71da70db80740847258c718e9d5a,163,21,0,184
a42e121541b89a4eddebd274ad9a46214610f683,39,2,0,41
003a60c7eb9b48d83733d8c400f793473d89bde7,320,19,3,339
126d15b02690c5b58e87616f6c51ba5bf65f7c8a,51,4,0,55
d33d044fca900744c4945fdbbe9e2a6e14a1a8a8,10,1,0,11
6e52be00a1393f94beea8ffe0e6277c81b24102d,4,2,0,6
b00493ec999bf3feecd5183040c6fe15636c27a2,81,8,0,89
869783e4bb71b7dc65e67cb7184f59a19571d5b9,66,2,0,68
07b887083045b7483da16fad5dd2aed50331af8f,8,1,0,9
3952c850d78bc5273d1cc575f3976209f124463f,66,5,0,71
9e4aaf303fa28c7cabd955e3ebbb8c81f6820b28,500,20,6,520
52eb9886b55c59b5bc6a877426c050c272b85605,100,6,3,106
660a724fe35ebb3822477f7bf7482ea18a00a225,980,27,3,1007
5e056a15d5b259ac39ef4fa7123969e7692b9b95,29,1,0,30
2f9abf6d00c0896d52e0b09397f15c415b484d90,157,2,1,159
