hash,lines,files,num_test_files,commit_size
113f8b8509072ebf978cf3934ebafa2239503530,465,5,0,470
372b9f3e6a61054528393bb4c4e7630fb17abeab,303,18,1,321
b38de8abc55fb2ee9068760c38d7e0e809c1c8bd,184,20,1,204
a62af63205961bffb3d9559454b9c289808333e6,377,5,2,382
15f6bebccc09b2af0908b34eb8769ddfd25b3795,110,3,1,113
1823220da70a749b88f97d7fc7f06eb7c1d67176,77,7,1,84
b598378e02af0d862bf27b985bc62ebd2d24b9e0,105,6,1,111
90f027efe123343a663e51e12d485ef7b302b093,4,1,0,5
e6ca25c0fec5fbf85a190092ea5094b0b10c0f13,210,14,2,224
08df187f82f3b3c0863c1bfb1096f0fb45ec599b,8928,116,0,9044
951cd2f95aee57fff6ab84594669aad12e8f4e8e,9036,120,0,9156
adcab26d8a80a6fcb6a069efa774b141e3eb19bf,1700,15,0,1715
33aad25b805a927f4ead3c7cbcfad39a518a87a0,307,64,12,371
73f69973d78bf1fae7c1aad661421b8bc955d20f,1075,131,19,1206
24c85c7746f26aceb17ffdf7394e620a079523e3,55,160,23,215
ac3a80616248e6facf9c756ac8d831bcf5e978a1,646,41,10,687
bd1fde90f05a3aec05f7cad24d90633ea680d9f9,124,19,6,143
51649183bf4c40f40b46bbcf04adb379094d7fda,2055,163,0,2218
4a0bb74123d353df85e4a29a26e5d439bd1a5993,145,24,0,169
85d8f09fa96ec16d413bd5bc01269fff6ed595f4,383,4,2,387
5141722756ae6a9f10924242f5d89cd9afebedad,8,3,0,11
cfdcdffee41711ba91109378605265200b2d9a25,4,1,1,5
c5a894a12d326350c7b169b85704d3b183283057,100,33,4,133
f6adf0b5e678b5aff29cc3eeef9b3e9b240c0385,1259,59,8,1318
78ff38c7e17cd5349bc92ccda18e7310c8e0274c,14,3,0,17
9058bae13942bb17e96ee5ba371b0013a58d473f,82,2,0,84
b2efb50d011d65644ad00fbbc7511731d9f8c47d,505,16,3,521
bbf7932d062125317c20f98e204a5d231ee491c8,9,3,0,12
ad9dcbe0a0dcf3b94de5e7be868a273c076c52ba,1073,44,0,1117
