hash,commit_size,num_test_files
80adc6a73e981ee671fb35bbba2d8734bb914da0,5,0
d756afffdbcb6f2c32797dd4e250867d11b88bd2,4,0
aadc136241caec688b0707aeef94b0f299601edb,2619,0
4838a0601decf70f93be5f1e48a8daf58a7011b2,737,0
34a2a95b81e955b4c0698c71cdb2117bd737a222,216,0
c15d20e65fd4c58b246fc7026c97079fba89cf7d,32,0
4bc27848cdd4c1914343eac1419681053f743d42,13,0
cdf5c38efda92c64c129a307e3debc93fa09e124,68,0
3fe220072cb523a4675747140438bee384004447,10,0
8c0ae064b0a10c1cc1d2175b563d364eac78aba9,10,0
292d31a9664c64ec962f6b8e6be9ef741b77974d,16,0
ea81b55b89920d55ea0d01fe2559f9527e5c32c6,361,0
dd8612120ef0597f8d171767752e908222ae1cf0,106,0
997fe0c6fbe35a16ec8cf33e8702db5f5c4a43a0,66,0
aea251305ed088b3b267d16a9de03422200c2249,3,0
48248b5c7b0e85c9fa2b95464c963203ae80b4ac,14,0
1e8707cffba2de1aa358f41da91c979bb25bdf1c,12,0
3bc27e3ded3fab45201a156501bfad6cbceecc94,14,0
e1eb16b3783bbcda9d2b83f7b1224a51c00e5e62,3,0
e455ceb45620b431ab6ea1580c6ac270a3f61c2c,41,0
1989897c018bfb64955e304c5df83e2b8aba1925,58,0
f410aabd060876bf0100a03f5fdb326e8d26f69c,20,0
abeecafff2726aab78408be635fb50d194c7902f,21,0
998b792651509b3298c167acc27c8f5ea2fece4d,60,0
d0e6831b016d457c501b9236b24141253da465a0,5280,0
eadd18742af28ba18bdf663b604028e1e4bb8733,21,0
eb42451418cd71f76ed196f36e52d70a45582491,3,0
896ec13aa746888216ef660ecbdefc4f0e71c81d,7,0
fc5ae41661724a03e06d8352e94b18fe29c149b9,5308,0
0644b39c8786176b5cdfde62039ca5ee0f7c2f4a,8,0
6041cd9d03f4f8acb2a4c91767ab0c9687232383,84,0
df33534846d324f2f36066cd87bea2e8ce0f0cfb,3,0
0eb696b1701a54a1a78973399f88003ec56ca353,53,0
7cce193313f89b9afa7f57e288993235e9f8c165,48,0
f7fa84ab322657e44897a495d7299d9f453639a8,27,0
317710d07a1b836478a2bd4aa08c9937554d9d1b,12,0
83e2eecc662e19b20559b8483c41d7db865d401c,33,0
8833764ffec48c869c10b504093bbe0b78c1f304,24,0
a6fcc6ed17f7861b0ed8a46bc54903c313c4908b,23,0
130c34e652706acbc9e9c9c49352e8dc9d9cd920,4,0
a3094ef9cd940bf5c309d7abd496f4693e31f621,19,0
5046c24eef630ce2f25e47d0ef13b6fc275fa1e0,86,0
02dabc54ee827bcf46a2a469bab2215235ebed81,228,0
a5e14a22a85fa205fcb4b3127e4014db75fb2c57,23,0
9a6881b93f1ccdbed1d6d66b575de3c3acf9dd59,639,6
d9df90fd2fae8801b596d020b267774aef520bc5,141,0
8279bff0c79319e058d1a9fb1429b55d9488ee89,8,0
47a8b19c245dc327c61ce70ed68a4f9341991787,62,0
ff423ae49fa5e06e45108c54727ded93d355c0a5,12,0
86b45723532d9b76aa8de9bcea8d29e371aa95de,12,0
4cc3ce59a2272674805e8023e71bde4da6273619,28,0
bbe4aee5ac77533fa7492f5bef03e2cd2ec2a68b,45,0
e1ccf0cd44eec68f7bbea4e424da5564017b02a5,107,2
225255ada7717b80f5d0abb452980038de16b26a,98,0
030304ce4242201ffc0a55f409df18af3237b6ad,4,0
c67f3579f05a93308303f315aff60a850ed46818,14,0
1600c312e2b6a51c887afd47b47c7079885f02c8,19,0
26cf709faa6db019b642f362c85083a9ad7a82ac,9,0
