hash,lines,files,num_test_files,commit_size
6984e90ee0f7a9ef1d8e0bbe648553bfeebe8ba0,20,2,1,22
5ce06ce766c8a74cebedb8a9818401bf2066b064,96,2,1,98
970405cb23500f35bd395e1aa7635b1dc32ed025,119,5,0,124
818345f17d19fe00ad877f6112c5410a5c2f01dd,30,1,0,31
4d358dd6857c7e99c69dd195e2d64ed3f52be01c,162,3,0,165
40df03ab0c7268dd66e8230e699650e5e0defcd2,184,2,0,186
817d07e62a16ed88dd5661a2ab1ebbda0b169db5,15,1,0,16
f783b2ea565d014275afd9a2dfb627712ca1f044,4,1,0,5
217efcb2858f4ffb6d2fbd57bbcd6d0ef61c3826,189,2,0,191
bed2772a5508439313a46ea1cc99eab49dbf6d8f,106,1,0,107
9d583066da5b3d32a49a19e582c97b3bf728e64c,20,2,0,22
7df795145c78f4ed21778da39dea165629cddb97,4,1,0,5
2da830906b18f9f322fc62f838595172c1daac23,264,10,1,274
15b6434e93ed5d60744a08ff4699257f1a741211,18,3,0,21
2c61853e00a403060d791d40504960740a27e603,83,2,0,85
2d15960225a3b0f8c8587ce30aaccfb3b2dff986,55,4,0,59
63af9c4388657c39b24ddbd330c81a2807af07fe,5,1,0,6
8069ad294fa1a0c0df86f3bef5ed9c758049834b,69,1,0,70
352c3a78dcab1e2ce8766d3ad07b10a0bdebec49,386,1,0,387
ae5ab4065e366d83c520043190d7968c2d463f45,4,2,0,6
16f9ed875d48b206d84e3fe2c29e418d7b410799,167,2,1,169
268d011c8b039a8ffafe6f4ab447657b63fdebcf,182,2,1,184
401dfb0a0dd9e6fa7617af2167b756f01a8b6d74,38,1,0,39
0b1517fca235ef8bcd494bfa363cee98429ac4c3,131,3,0,134
d5a841ab8b7a1b3db14c7b08bb41e4d2906f5ad9,2,1,0,3
7d725bf69af473e6b589e08ee30a33b75f40021d,141,5,0,146
8ed6e236e055db07ae09139b0110fcaf30a81a6b,228,4,0,232
5daa8145c8f313f7102be0ff96c00a98ca8a421e,171,1,0,172
91f3bd08f4bb65d7c1eadc0f3beac5c026a76588,46,1,0,47
