hash,commit_size,num_test_files
271f18d74f33c74a657cacb5ed329d7b2e1d97fa,37494,0
2c721dce0f3c3522127fe7092e0123f600933718,53,0
725f22f39b99abdfbbaba2ea329975ca6fa733f4,26,0
ace7ce379cf2829db53a2c64f4e18fed57426d51,27,0
7929355fea78cd7dbf7f10bac892e5521a2f4a8a,3,0
10f9ea99a344a81ed7678af097d88530070ec224,10,0
5c56befc3404fd72302ea1ca0a01fb336992b264,9,0
97c44e8870ad01b7d409ef866c8edbb8e8c2f01a,47,0
72a960a1fa22dc37810df1a1d0e35767171e720e,3,0
fd3075d7de8370be5989fef16c1ef0ad108d8543,6,0
fdaad1abd640a514d5b74e69f57a4b305a9114f9,21,0
92e092453c32171d2f0ac0a63156cf9d12a360af,26,0
4fd3fc55bed1623ef802b6df08bf378c3cb8164b,96,0
cde83e7d6955b6595a76f570a7b63310da0115c3,31,0
f6df0cf2992dd11355918dbd114e814b93ca845e,3,0
7c5f601ceb20511cdaa9336b61cf1405a7b5acbf,11,0
7146ff964a3c1c531b300c005e45512c27323226,191,0
e8693aaf9d722870847f004265ecd7cd9d5ad927,9,0
5b22a22429ccf6b993cc59642b05e484a6e70563,23,0
e50861282aa98a0b232f4cd5d9de3e26156477ff,125,0
d5cfc95ef334a269e89e2390cc625e323ce3819b,8,0
45d568675249b57255487dc017c197e076dfce3b,2,0
706208ef2f8cdaabe84b6c4c0266dd9f5e57e11f,14,0
e080bd32e63d893d9bc1c55f251a31d50fe383b8,3,0
6d16d4b44458e92dcfba181dedbe9c608cf07078,24,0
09e39383b125f5c4677e417c83bacf7e12640c0e,46,0
82d0e5576036c6122dd6629dfa10b26fc0e430e3,16,0
02e2454619e14c9b46b558199f6b1ce2dcf7f66c,2,0
0aac89128cb4100efb6376decb5616cf6f1ce121,11,0
6ec7c2b99b2d5aea396f9529a50d56a9ff7269bd,559,0
17e5907d956d0d2e099c1b2d9bbd390fc306a111,507,0
e67ce33b15fe79bc2ab86ab0d27c3696a693cbcb,21,0
bba5650f424271c1521bfa197c00349030fa5054,10,0
765b65c4f0427f17d53f4c4884c878b5fc7bedd6,226,0
58ebb677ec7a5672340d3df0f1079f6e120be542,3,0
b64862c88d148ec2a9aabd59d8b3dbc4f9702a96,368,0
78757cae7c245977f2c6a949e08e980699308ed3,26,0
3aee99859bb1850b1b2d9f8b81da3fce0b36241c,26,0
230347b92c9931cf6229d986564e479b8b53e43c,403,0
cff2b4ddb903f1087eea7ce14b7ebdb77efe72f2,118,0
5d0137f9e59152fa9b97164ce89d2cd73fc0e29a,58,0
32f0c84f17d3f0c83f533253313fb8528f9e9458,18,0
53fb9d65a2a3037ce27cda8621593142ccf4f54d,113,0
44436a200f8700839543290d0e9a1017ca2cf37b,10,0
9bccfb72f8ca625dcf8a47bbdad8f8ee267a496d,8,0
d1fe68e008811fb0f3376dc21bac1341af66fb3a,109,0
6c3157ac4dcb97ec27fd3e631f78a01d2c0f25ef,3,0
53ed5183a6c4671e67a8b808047dea476771beae,72,0
e1131e767e2af26d3394b4881f9cdc9c7a16a39f,3,0
cd96652c1e7f833be4e7584c7f44821dc3db172d,14,0
e2dc0ed0aa73f6f2297230c49c0a5a752200668d,11,0
5c9c8809fc698b444e795df64d51d72df4f57f16,17,0
618e64698e16478fca9eb94b3d66e82ccadf1972,195,0
d7ac54916657997ca0116797e9d8eeafac6e9e3a,1144,2
d3275b6e537171e7fa8b46392ba7163d3265639c,25,0
7a30f2d3a3f2d9686c1b30c7375ec5abbfdf821c,12,0
59851d5466f5d1c53d212e6c98f6fcc223a77477,601,1
33f63710d73d509858f9e723aa926da150fc1fe2,7,0
