type,test_file,hash_test_creation,test_creation_time,impl_file,hash_impl_creation,impl_creation_time
same,TestDatabaseResourceService.java,2fd29cd689c6c301a60f84e19875f2446f43fb49,2015-02-25 17:59:44+05:30,DatabaseResourceService.java,2fd29cd689c6c301a60f84e19875f2446f43fb49,2015-02-25 17:59:44+05:30
after,TestMethodMetricsFactory.java,683516c9555ada888de375de26490be9a9c2da02,2015-03-09 12:18:47+05:30,MethodMetricsFactory.java,640f0568eb35f12b8e674a6a5fee2acd7616d66c,2015-02-26 17:52:10+05:30
after,TestAbstractQueryContext.java,683516c9555ada888de375de26490be9a9c2da02,2015-03-09 12:18:47+05:30,AbstractQueryContext.java,e2d157eadc1829c8e7100a09621257e3947f888a,2014-11-12 17:00:07+05:30
same,TestTimePartition.java,803448a18e901a5c3dd9e4a70aa03935be05790b,2015-03-10 12:25:19+05:30,TimePartition.java,803448a18e901a5c3dd9e4a70aa03935be05790b,2015-03-10 12:25:19+05:30
same,TestMLRunner.java,8d185913e76d632027028b3bbba15ceb8e158a9f,2015-03-24 14:27:26+05:30,MLRunner.java,8d185913e76d632027028b3bbba15ceb8e158a9f,2015-03-24 14:27:26+05:30
same,TestRewriterPlan.java,b86424c8c4bc46a31582f5de78d91a7cb88f362d,2015-03-26 19:12:30+05:30,RewriterPlan.java,b86424c8c4bc46a31582f5de78d91a7cb88f362d,2015-03-26 19:12:30+05:30
same,TestScannedPaths.java,84666df01ded1e944b418abde08625a00789305d,2015-06-09 12:06:57+05:30,ScannedPaths.java,84666df01ded1e944b418abde08625a00789305d,2015-06-09 12:06:57+05:30
same,BriefErrorTest.java,d1d99708026d17d43f3f9ea4f9ae088cb151fbd2,2015-06-20 14:23:53+05:30,BriefError.java,d1d99708026d17d43f3f9ea4f9ae088cb151fbd2,2015-06-20 14:23:53+05:30
same,IdBriefErrorTemplateTest.java,d1d99708026d17d43f3f9ea4f9ae088cb151fbd2,2015-06-20 14:23:53+05:30,IdBriefErrorTemplate.java,d1d99708026d17d43f3f9ea4f9ae088cb151fbd2,2015-06-20 14:23:53+05:30
after,SupportedQuerySubmitOperationsTest.java,58ab86f2440f74c815f1c2ea6199f0b7765120b4,2015-07-06 14:40:31+05:30,SupportedQuerySubmitOperations.java,a8baa452a28f56ef3541092778e4acfbae5f0546,2015-05-05 17:32:37+05:30
after,ConflictingFieldsTest.java,58ab86f2440f74c815f1c2ea6199f0b7765120b4,2015-07-06 14:40:31+05:30,ConflictingFields.java,30c67bc59007aa7347c8c56e2a390045a267dee4,2015-05-14 12:41:09+05:30
after,TestFactPartition.java,2e5748a8c5dcff9627b8d125820371f1d4667d61,2015-07-09 13:05:53+05:30,FactPartition.java,7a362c67757bb797cd02b7354f89f1e24b5c6ee7,2014-10-25 08:46:20+05:30
same,TestFactPartitionBasedQueryCostCalculator.java,2e5748a8c5dcff9627b8d125820371f1d4667d61,2015-07-09 13:05:53+05:30,FactPartitionBasedQueryCostCalculator.java,2e5748a8c5dcff9627b8d125820371f1d4667d61,2015-07-09 13:05:53+05:30
same,TestFactPartitionBasedQueryCost.java,2e5748a8c5dcff9627b8d125820371f1d4667d61,2015-07-09 13:05:53+05:30,FactPartitionBasedQueryCost.java,2e5748a8c5dcff9627b8d125820371f1d4667d61,2015-07-09 13:05:53+05:30
same,TestUserQueryToCubeQueryRewriter.java,689c9a99b112b21e9ecba9a8461cf9672b88ba2f,2015-07-16 15:26:20+05:30,UserQueryToCubeQueryRewriter.java,689c9a99b112b21e9ecba9a8461cf9672b88ba2f,2015-07-16 15:26:20+05:30
